Type;Date;Set Time;Title;Amount;Currency;Exchange Rate;Category Group Name;Category;Account;Notes;Labels;Status
Transfer;2022-11-03 17:48:19;17:48;Transfer;-30.00;EUR;0.005;(Transfer);(Transfer);AirBank - Spořící;;;Reconciled
Transfer;2022-11-03 17:48:19;17:48;Transfer;6000.00;CZK;200.0000000000;(Transfer);(Transfer);AirBank - Společný;;;Reconciled
Transfer;2022-11-03 16:43:17;16:43;Transfer;-8.00;EUR;0.0393387483;(Transfer);(Transfer);EUR;;;Reconciled
Transfer;2022-11-03 16:43:17;16:43;Transfer;60.00;HRK;0.2950406123;(Transfer);(Transfer);HRK;;;Reconciled
Transfer;2022-08-23 19:20:45;19:20;Transfer;-169.64;CZK;1.0000000000;(Transfer);(Transfer);AirBank - VASKO TechDesign;;;Reconciled
Transfer;2022-08-23 19:20:45;19:20;Transfer;6.70;EUR;0.0394954020;(Transfer);(Transfer);EUR;;;Reconciled
